id,email,firstName,lastName,username,birthdate,country,password,Bitcoin,Ethereum,Euro,US-Dollar,Canadian-Dollar,Bitcoin Cash,Litecoin,Dogecoin,Yen,Yuán
47,janice.lopez@example.org,Janice,Lopez,ftaylor,1988-08-29,Netherlands Antilles,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,kyle.sawyer@example.org,Kyle,Sawyer,jasonwilliams,1989-06-22,Malaysia,Passwort123!,0.0,14448.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,mr..caldwell@example.org,Mr.,Caldwell,chelsealong,1997-03-17,Christmas Island,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18922.74
50,gregory.taylor@example.org,Gregory,Taylor,hortonlucas,1992-09-28,Palestinian Territory,Passwort123!,0.0,0.0,0.0,0.0,11700.0,0.0,0.0,0.0,0.0,0.0
51,joseph.tyler@example.org,Joseph,Tyler,timothylogan,2003-04-16,Saudi Arabia,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5204.57,21770.21,0.0
52,steven.terrell@example.org,Steven,Terrell,lmorris,1979-01-08,Madagascar,Passwort123!,0.0,1318.77,0.0,0.0,0.0,0.0,0.0,0.0,1657.59,0.0
53,dana.miller@example.org,Dana,Miller,xadams,1969-01-03,Grenada,Passwort123!,17012.32,0.0,0.0,0.0,16839.21,0.0,0.0,0.0,0.0,0.0
54,christopher.lawrence@example.org,Christopher,Lawrence,ashleypeterson,1989-03-22,Tajikistan,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,sheila.patterson@example.org,Sheila,Patterson,andrewperez,1975-11-21,Spain,Passwort123!,0.0,0.0,0.0,3907.69,0.0,0.0,10463.69,0.0,0.0,0.0
56,antonio.miller@example.org,Antonio,Miller,charles77,1963-02-04,Sri Lanka,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36252.79,0.0
57,kimberly.kaiser@example.org,Kimberly,Kaiser,ericburnett,1968-03-03,Greenland,Passwort123!,38385.32,0.0,0.0,0.0,0.0,0.0,0.0,13576.02,33923.95,0.0
58,jeffery.french@example.org,Jeffery,French,proctorkelly,1993-07-09,Bahrain,Passwort123!,0.0,46564.77,0.0,0.0,0.0,44980.75,0.0,0.0,0.0,0.0
59,shawn.collins@example.org,Shawn,Collins,ashley07,1977-07-09,Montserrat,Passwort123!,0.0,0.0,0.0,3086.71,0.0,0.0,0.0,0.0,0.0,0.0
60,william.perez@example.org,William,Perez,sara22,1969-11-20,Bhutan,Passwort123!,0.0,16317.9,0.0,0.0,0.0,16996.53,0.0,0.0,0.0,0.0
61,rachel.ochoa@example.org,Rachel,Ochoa,stacydavis,1976-04-06,South Africa,Passwort123!,0.0,9554.98,0.0,6228.79,0.0,0.0,0.0,0.0,4508.1,0.0
62,kelly.castaneda@example.org,Kelly,Castaneda,robert27,1987-11-04,Cocos (Keeling) Islands,Passwort123!,0.0,0.0,1243.62,4246.27,0.0,0.0,1600.08,44.49,0.0,2447.51
63,tracy.charles@example.org,Tracy,Charles,josephbrown,1981-07-17,San Marino,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,mrs..davidson@example.org,Mrs.,Davidson,walter89,1983-03-12,Ukraine,Passwort123!,0.0,0.0,0.0,294.03,0.0,569.48,0.0,0.0,0.0,750.52
65,andre.davidson@example.org,Andre,Davidson,sandra19,1998-03-25,Germany,Passwort123!,0.0,0.0,0.0,47576.06,0.0,0.0,0.0,0.0,0.0,0.0
66,chad.kelley@example.org,Chad,Kelley,brownerin,2001-03-16,French Guiana,Passwort123!,0.0,0.0,0.0,0.0,22259.52,0.0,0.0,0.0,0.0,0.0
67,amanda.crawford@example.org,Amanda,Crawford,vingram,1982-03-28,Russian Federation,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,12880.81,0.0,0.0,0.0
68,gina.hutchinson@example.org,Gina,Hutchinson,johnbrown,1964-03-17,Indonesia,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,chelsey.blanchard@example.org,Chelsey,Blanchard,travishannah,1984-08-24,Nicaragua,Passwort123!,1401.47,0.0,0.0,0.0,0.0,0.0,0.0,1255.82,1832.32,0.0
70,alexandra.simon@example.org,Alexandra,Simon,wrightvickie,1969-08-17,Poland,Passwort123!,333.98,0.0,0.0,0.0,1612.49,0.0,0.0,0.0,0.0,0.0
71,amanda.morales@example.org,Amanda,Morales,matthewdavis,1983-01-17,Afghanistan,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8334.31
72,cameron.christensen@example.org,Cameron,Christensen,hollandelizabeth,1971-01-25,Aruba,Passwort123!,0.0,28785.24,0.0,1373.4,0.0,0.0,0.0,0.0,49756.25,0.0
73,john.robertson@example.org,John,Robertson,vargasjessica,1979-11-23,Germany,Passwort123!,30869.77,0.0,68310.18,0.0,19664.57,0.0,0.0,0.0,29932.92,17308.72
74,bridget.white@example.org,Bridget,White,reyesthomas,1978-04-29,Moldova,Passwort123!,0.0,0.0,3571.14,0.0,0.0,15950.29,0.0,0.0,0.0,0.0
75,william.hall@example.org,William,Hall,zacharysandoval,1993-09-11,Guinea,Passwort123!,40877.68,7465.05,0.0,19847.1,0.0,0.0,0.0,0.0,30051.62,0.0
76,roberto.boyle@example.org,Roberto,Boyle,johnbyrd,1984-05-19,Niue,Passwort123!,0.0,43897.33,0.0,0.0,41325.16,16335.9,0.0,0.0,0.0,0.0
77,tammy.russell@example.org,Tammy,Russell,michaelclark,1982-06-15,Mayotte,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,lori.bell@example.org,Lori,Bell,thompsonchristopher,1983-01-20,Macedonia,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25380.22,0.0
79,theodore.ramirez@example.org,Theodore,Ramirez,toddnicholson,1969-12-26,Bulgaria,Passwort123!,0.0,0.0,49046.97,0.0,0.0,37897.66,0.0,0.0,2671.55,0.0
80,kelly.sanders@example.org,Kelly,Sanders,nashsamantha,1981-06-02,Fiji,Passwort123!,0.0,0.0,0.0,10360.45,0.0,9262.88,0.0,0.0,0.0,0.0
81,jennifer.joyce@example.org,Jennifer,Joyce,swalker,1994-11-23,Turkmenistan,Passwort123!,0.0,0.0,3958.75,0.0,0.0,0.0,0.0,0.0,1555.9,0.0
82,michael.reed@example.org,Michael,Reed,jennifer74,1983-01-06,Bolivia,Passwort123!,401.45,242.67,0.0,0.0,467.51,0.0,0.0,0.0,493.32,0.0
83,jason.baker@example.org,Jason,Baker,vbooth,1963-01-31,Saint Pierre and Miquelon,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26253.96,0.0
84,chris.willis@example.org,Chris,Willis,lori01,1995-09-02,Western Sahara,Passwort123!,2037.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41014.21
85,evelyn.sandoval@example.org,Evelyn,Sandoval,david57,1998-01-04,Wallis and Futuna,Passwort123!,0.0,0.0,58886.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,steven.dunn@example.org,Steven,Dunn,zamorajeff,1965-12-06,Cote d'Ivoire,Passwort123!,67884.66,0.0,0.0,0.0,68724.25,17410.19,45829.16,0.0,0.0,8255.45
87,mary.ramsey@example.org,Mary,Ramsey,cannonchristopher,1967-07-20,Ireland,Passwort123!,0.0,0.0,34129.11,0.0,63256.51,0.0,0.0,0.0,0.0,0.0
88,scott.bell@example.org,Scott,Bell,xwashington,1966-04-19,Slovenia,Passwort123!,0.0,79937.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,david.knapp@example.org,David,Knapp,fkoch,1989-10-05,Aruba,Passwort123!,0.0,36972.28,0.0,0.0,0.0,0.0,0.0,0.0,5719.11,42805.35
90,william.griffin@example.org,William,Griffin,chris29,1990-09-18,Equatorial Guinea,Passwort123!,0.0,0.0,0.0,0.0,0.0,3175.71,0.0,0.0,0.0,0.0
91,erin.elliott@example.org,Erin,Elliott,leejames,1971-06-24,Comoros,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41244.26
92,kenneth.hanna@example.org,Kenneth,Hanna,jason10,1973-07-11,Tunisia,Passwort123!,20475.83,0.0,23212.09,0.0,0.0,0.0,0.0,0.0,32509.0,1209.31
93,monica.olsen@example.org,Monica,Olsen,david83,1988-01-17,Iraq,Passwort123!,56570.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,jennifer.elliott@example.org,Jennifer,Elliott,rogerskimberly,1980-10-14,Luxembourg,Passwort123!,34470.66,0.0,0.0,0.0,0.0,0.0,12508.35,0.0,9804.29,0.0
95,adam.may@example.org,Adam,May,espinozarobert,1971-02-18,Peru,Passwort123!,0.0,0.0,0.0,16767.32,0.0,0.0,0.0,0.0,0.0,0.0
96,mrs..dds@example.org,Mrs.,DDS,jennifer86,2001-05-14,Mauritania,Passwort123!,0.0,0.0,47379.98,0.0,0.0,0.0,21373.16,0.0,58328.17,0.0
97,john.parker@example.org,John,Parker,harrisjames,1999-03-07,Macao,Passwort123!,0.0,0.0,0.0,72771.67,0.0,0.0,74688.15,0.0,17639.01,0.0
98,mario.butler@example.org,Mario,Butler,mitchell84,1993-07-05,Mayotte,Passwort123!,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,30.97,0.0
99,amy.knapp@example.org,Amy,Knapp,woodardfrank,1965-01-26,Bangladesh,Passwort123!,0.0,0.0,0.0,0.0,13706.97,0.0,0.0,0.0,0.0,0.0
100,robert.sellers@example.org,Robert,Sellers,lwoods,1989-08-04,Serbia,Passwort123!,0.0,29641.68,0.0,0.0,61576.24,0.0,0.0,16336.69,51996.76,0.0
